"SubjectID","Angle","Base","Feature","SizeDirection","Manipulation","ExpectedAns","ResponseTime(ms)","GivenAnswer","Correct"
20,"36","0.4","angle","increase","angle","smaller","20931","smaller",1
20,"36","0.4","angle","decrease","distance","same","13830","same",1
20,"36","0.4","vertex","increase","distance","upward","13899","upward",1
20,"36","0.4","angle","decrease","angle","bigger","8337","bigger",1
20,"36","0.4","vertex","increase","angle","upward","7610","upward",1
20,"36","0.4","angle","increase","distance","same","15881","same",1
21,"36","0.4","vertex","increase","angle","upward","26778","upward",1
21,"36","0.4","angle","increase","angle","smaller","11000","bigger",0
21,"36","0.4","vertex","decrease","distance","downward","19082","downward",1
21,"36","0.4","angle","decrease","distance","same","13118","smaller",0
21,"36","0.4","angle","decrease","angle","bigger","29606","smaller",0
21,"36","0.4","vertex","decrease","angle","downward","14021","stayPlace",0
21,"36","0.4","vertex","increase","distance","upward","15972","upward",1
21,"36","0.4","angle","increase","distance","same","12965","bigger",0
22,"36","0.4","vertex","decrease","distance","downward","18164","downward",1
22,"36","0.4","vertex","decrease","angle","downward","6568","downward",1
22,"36","0.4","vertex","increase","angle","upward","4655","upward",1
22,"36","0.4","vertex","increase","distance","upward","14708","upward",1
22,"36","0.4","angle","increase","distance","same","20466","same",1
22,"36","0.4","angle","decrease","angle","bigger","6008","same",0
22,"36","0.4","angle","increase","angle","smaller","20866","smaller",1
22,"36","0.4","angle","decrease","distance","same","11325","bigger",0
23,"36","0.4","vertex","decrease","angle","downward","4308","downward",1
23,"36","0.4","angle","increase","distance","same","2108","smaller",0
23,"36","0.4","angle","decrease","distance","same","2003","same",1
23,"36","0.4","angle","decrease","angle","bigger","1989","same",0
23,"36","0.4","vertex","increase","angle","upward","87282","downward",0
23,"36","0.4","angle","increase","angle","smaller","2123","same",0
23,"36","0.4","vertex","decrease","distance","downward","2117","downward",1
23,"36","0.4","vertex","increase","distance","upward","1900","upward",1
24,"36","0.4","vertex","increase","angle","upward","12320","upward",1
24,"36","0.4","vertex","increase","distance","upward","3353","upward",1
24,"36","0.4","angle","decrease","distance","same","1835","smaller",0
24,"36","0.4","vertex","decrease","angle","downward","2590","downward",1
24,"36","0.4","vertex","decrease","distance","downward","1791","upward",0
24,"36","0.4","angle","increase","angle","smaller","2446","smaller",1
24,"36","0.4","angle","increase","distance","same","1615","bigger",0
24,"36","0.4","angle","decrease","angle","bigger","2238","smaller",0
25,"36","0.4","angle","decrease","distance","same","8171","smaller",0
25,"36","0.4","vertex","increase","angle","upward","3422","stayPlace",0
25,"36","0.4","vertex","increase","distance","upward","2485","downward",0
25,"36","0.4","angle","increase","distance","same","8896","same",1
25,"36","0.4","angle","increase","angle","smaller","2506","smaller",1
25,"36","0.4","vertex","decrease","angle","downward","4132","downward",1
25,"36","0.4","vertex","decrease","distance","downward","3468","upward",0
25,"36","0.4","angle","decrease","angle","bigger","5027","smaller",0
26,"36","0.4","angle","increase","angle","smaller","40372","bigger",0
26,"36","0.4","angle","decrease","angle","bigger","9068","bigger",1
26,"36","0.4","vertex","increase","angle","upward","26136","upward",1
26,"36","0.4","angle","increase","distance","same","19111","smaller",0
26,"36","0.4","vertex","increase","distance","upward","16486","upward",1
26,"36","0.4","angle","decrease","distance","same","19635","smaller",0
26,"36","0.4","vertex","decrease","distance","downward","40875","stayPlace",0
26,"36","0.4","vertex","decrease","angle","downward","10015","downward",1
27,"36","0.4","vertex","increase","angle","upward","30967","upward",1
27,"36","0.4","vertex","decrease","angle","downward","6424","downward",1
27,"36","0.4","angle","increase","distance","same","10493","bigger",0
27,"36","0.4","angle","decrease","distance","same","3554","smaller",0
27,"36","0.4","angle","increase","angle","smaller","7909","smaller",1
27,"36","0.4","vertex","decrease","distance","downward","9396","upward",0
27,"36","0.4","vertex","increase","distance","upward","7998","downward",0
27,"36","0.4","angle","decrease","angle","bigger","26045","smaller",0
28,"36","0.4","angle","decrease","distance","same","21795","same",1
28,"36","0.4","vertex","decrease","angle","downward","14783","downward",1
28,"36","0.4","vertex","increase","angle","upward","11282","upward",1
28,"36","0.4","vertex","decrease","distance","downward","13509","upward",0
28,"36","0.4","vertex","increase","distance","upward","9030","downward",0
28,"36","0.4","angle","increase","distance","same","23647","same",1
28,"36","0.4","angle","decrease","angle","bigger","16810","bigger",1
28,"36","0.4","angle","increase","angle","smaller","8896","smaller",1
29,"36","0.4","vertex","decrease","angle","downward","28273","downward",1
29,"36","0.4","vertex","increase","angle","upward","9151","upward",1
29,"36","0.4","angle","decrease","distance","same","27246","smaller",0
29,"36","0.4","angle","decrease","angle","bigger","4471","bigger",1
29,"36","0.4","vertex","increase","distance","upward","15470","downward",0
29,"36","0.4","vertex","decrease","distance","downward","5247","upward",0
29,"36","0.4","angle","increase","angle","smaller","7566","bigger",0
29,"36","0.4","angle","increase","distance","same","3790","smaller",0
30,"36","0.4","vertex","increase","angle","upward","19889","upward",1
30,"36","0.4","angle","decrease","distance","same","11025","same",1
30,"36","0.4","angle","increase","angle","smaller","6774","smaller",1
30,"36","0.4","angle","decrease","angle","bigger","6330","bigger",1
30,"36","0.4","vertex","decrease","distance","downward","9204","downward",1
30,"36","0.4","vertex","decrease","angle","downward","9943","downward",1
30,"36","0.4","angle","increase","distance","same","11355","same",1
30,"36","0.4","vertex","increase","distance","upward","11857","upward",1
31,"36","0.4","vertex","decrease","distance","downward","18862","downward",1
31,"36","0.4","vertex","increase","angle","upward","11400","upward",1
31,"36","0.4","angle","increase","distance","same","8798","bigger",0
31,"36","0.4","angle","increase","angle","smaller","5789","bigger",0
31,"36","0.4","angle","decrease","angle","bigger","5286","smaller",0
31,"36","0.4","angle","decrease","distance","same","9544","smaller",0
31,"36","0.4","vertex","increase","distance","upward","8223","upward",1
31,"36","0.4","vertex","decrease","angle","downward","9041","downward",1
32,"36","0.4","angle","decrease","distance","same","30113","smaller",0
32,"36","0.4","vertex","increase","distance","upward","19770","downward",0
32,"36","0.4","angle","increase","distance","same","30615","bigger",0
32,"36","0.4","vertex","decrease","distance","downward","10002","upward",0
32,"36","0.4","angle","increase","angle","smaller","36471","smaller",1
32,"36","0.4","angle","decrease","angle","bigger","8775","bigger",1
32,"36","0.4","vertex","increase","angle","upward","31487","downward",0
32,"36","0.4","vertex","decrease","angle","downward","11235","stayPlace",0
33,"36","0.4","angle","decrease","distance","same","19757","bigger",0
33,"36","0.4","vertex","decrease","distance","downward","14166","upward",0
33,"36","0.4","vertex","decrease","angle","downward","17331","downward",1
33,"36","0.4","angle","increase","angle","smaller","10334","bigger",0
33,"36","0.4","vertex","increase","angle","upward","11871","downward",0
33,"36","0.4","vertex","increase","distance","upward","16599","downward",0
33,"36","0.4","angle","decrease","angle","bigger","28222","smaller",0
33,"36","0.4","angle","increase","distance","same","11568","smaller",0
34,"36","0.4","vertex","decrease","distance","downward","22647","downward",1
34,"36","0.4","vertex","increase","distance","upward","5352","upward",1
34,"36","0.4","angle","decrease","distance","same","9561","bigger",0
34,"36","0.4","angle","increase","distance","same","22939","bigger",0
34,"36","0.4","angle","decrease","angle","bigger","10016","bigger",1
34,"36","0.4","vertex","decrease","angle","downward","6983","downward",1
34,"36","0.4","angle","increase","angle","smaller","4467","smaller",1
34,"36","0.4","vertex","increase","angle","upward","7045","upward",1
35,"36","0.4","vertex","increase","distance","upward","5164","upward",1
35,"36","0.4","vertex","decrease","distance","downward","7260","upward",0
35,"36","0.4","vertex","decrease","angle","downward","6586","downward",1
35,"36","0.4","angle","increase","angle","smaller","8378","bigger",0
35,"36","0.4","vertex","increase","angle","upward","2952","downward",0
35,"36","0.4","angle","decrease","distance","same","1086","bigger",0
35,"36","0.4","angle","decrease","angle","bigger","1068","bigger",1
35,"36","0.4","angle","increase","distance","same","1008","smaller",0
36,"36","0.4","vertex","increase","distance","upward","25270","downward",0
36,"36","0.4","vertex","increase","angle","upward","14311","upward",1
36,"36","0.4","angle","decrease","angle","bigger","64595","bigger",1
36,"36","0.4","vertex","decrease","angle","downward","10853","downward",1
36,"36","0.4","angle","increase","angle","smaller","14551","smaller",1
36,"36","0.4","angle","increase","distance","same","21892","same",1
36,"36","0.4","vertex","decrease","distance","downward","22995","downward",1
36,"36","0.4","angle","decrease","distance","same","40592","same",1
37,"36","0.4","vertex","decrease","angle","downward","86666","downward",1
37,"36","0.4","vertex","decrease","distance","downward","6850","stayPlace",0
37,"36","0.4","angle","increase","distance","same","11919","bigger",0
37,"36","0.4","vertex","increase","angle","upward","5575","upward",1
37,"36","0.4","vertex","increase","distance","upward","9527","stayPlace",0
37,"36","0.4","angle","increase","angle","smaller","7550","bigger",0
37,"36","0.4","angle","decrease","angle","bigger","4328","smaller",0
37,"36","0.4","angle","decrease","distance","same","8295","smaller",0
38,"36","0.4","angle","decrease","distance","same","8805","smaller",0
38,"36","0.4","vertex","increase","angle","upward","10010","upward",1
38,"36","0.4","angle","increase","distance","same","12101","bigger",0
38,"36","0.4","vertex","decrease","angle","downward","17921","downward",1
38,"36","0.4","vertex","decrease","distance","downward","33425","upward",0
38,"36","0.4","vertex","increase","distance","upward","6134","downward",0
38,"36","0.4","angle","decrease","angle","bigger","8261","smaller",0
38,"36","0.4","angle","increase","angle","smaller","14174","bigger",0
39,"36","0.4","vertex","decrease","distance","downward","21111","stayPlace",0
39,"36","0.4","angle","decrease","angle","bigger","8950","bigger",1
39,"36","0.4","angle","increase","angle","smaller","6531","smaller",1
39,"36","0.4","angle","increase","distance","same","24304","bigger",0
39,"36","0.4","vertex","decrease","angle","downward","8454","downward",1
39,"36","0.4","vertex","increase","distance","upward","21440","upward",1
39,"36","0.4","vertex","increase","angle","upward","5485","upward",1
39,"36","0.4","angle","decrease","distance","same","20307","smaller",0
40,"36","0.4","vertex","increase","distance","upward","21099","downward",0
40,"36","0.4","vertex","decrease","angle","downward","5932","upward",0
